,title,budget,id,original_language,popularity,revenue,vote_average,vote_count,nsfw_score
130,Jade,50000000,11863,en,11.418917,9851610.0,5.1,45.0,0.173068076372
139,The Birdcage,31000000,11000,en,6.49968,185260553.0,6.7,303.0,0.00198714039288
142,Bad Boys,19000000,9737,en,9.262184,141407024.0,6.5,1729.0,0.0464313775301
145,An Awfully Big Adventure,4000000,22279,en,0.922958,851545.0,6.0,11.0,0.000226258925977
147,Apollo 13,52000000,568,en,18.761467,355237933.0,7.3,1637.0,0.0532184392214
148,Rob Roy,28000000,11780,en,10.193549,31596911.0,6.5,151.0,0.780181705952
150,Batman Forever,100000000,414,en,13.321354,336529144.0,5.2,1529.0,0.0175616405904
153,Blue in the Face,2000000,5894,en,11.528147,1275000.0,6.8,28.0,0.0105357505381
154,Canadian Bacon,11000000,1775,en,5.391556,178104.0,5.9,57.0,0.0113508300856
155,Casper,50000000,8839,en,12.812539,287928194.0,6.0,1045.0,0.000689815962687
156,Clockers,25000000,20649,en,4.558992,13071518.0,6.8,69.0,0.0176741946489
157,Congo,50000000,10329,en,7.260574,152022101.0,5.0,214.0,0.00755486357957
158,Crimson Tide,53000000,8963,en,8.657365,157387195.0,7.0,508.0,0.0274216104299
160,Desperado,7000000,8068,en,6.950458,25405445.0,6.8,898.0,0.094380043447
161,Devil in a Blue Dress,27000000,8512,en,4.646132,16140822.0,6.3,88.0,0.0126665662974
162,Die Hard: With a Vengeance,90000000,1572,en,15.138855,366101666.0,6.9,2094.0,0.0371784940362
165,First Knight,55000000,6520,en,15.178338,127600435.0,5.9,319.0,0.000421450298745
167,Hackers,20000000,10428,en,14.810519,7563728.0,6.2,406.0,0.00296915741637
169,Johnny Mnemonic,25000000,9886,en,11.715868,19075720.0,5.5,380.0,0.00249870936386
170,Judge Dredd,90000000,9482,en,8.184815,113493481.0,5.4,643.0,0.0243137255311
172,Kids,1500000,9344,en,4.877872,7412216.0,6.8,280.0,0.00723506556824
173,Living in Oblivion,500000,9071,en,10.058329,1148752.0,7.2,64.0,0.0227584335953
177,Mallrats,6000000,2293,en,8.25547,2122561.0,6.8,400.0,0.175716295838
178,Mighty Morphin Power Rangers: The Movie,15000000,9070,en,7.024227,66000000.0,5.2,153.0,0.00258146133274
180,Mute Witness,2,48787,en,2.466066,1.0,6.4,36.0,0.0101628163829
182,The Net,22000000,1642,en,13.304342,110627965.0,5.6,359.0,0.00660380208865
184,Party Girl,150000,36196,en,1.165039,472370.0,5.8,14.0,0.0629478022456
185,The Prophecy,8,11980,en,10.187623,16.0,6.4,139.0,0.000260118220467
188,The Scarlet Letter,50000000,10533,en,6.752119,10382407.0,5.5,111.0,0.367286294699
190,Showgirls,45000000,10802,en,17.502375,20350754.0,4.9,261.0,0.15889044106
191,Smoke,7000000,10149,en,5.552946,8349430.0,7.2,115.0,0.000199069603696
193,Species,35000000,9348,en,13.492845,113374103.0,5.5,457.0,0.699049830437
195,Strange Days,42000000,281,en,11.223055,7959291.0,6.8,334.0,0.00767402630299
197,The Tie That Binds,14000000,79593,en,1.820419,5780000.0,4.6,9.0,0.00285894190893
201,Under Siege 2: Dark Territory,60000000,3512,en,7.490247,104324083.0,5.6,217.0,0.00570627534762
204,A Walk in the Clouds,20000000,9560,en,9.715639,50012507.0,6.5,168.0,0.00926775019616
205,Waterworld,175000000,9804,en,16.885184,264218220.0,5.9,1017.0,0.000972375739366
210,Burnt by the Sun,2800000,50797,ru,2.486073,2616503.0,6.7,35.0,0.00368859921582
212,Before Sunrise,2500000,76,en,11.304979,5535405.0,7.7,984.0,0.00529521005228
213,Billy Madison,10000000,11017,en,6.638116,26488734.0,6.2,464.0,0.00354909431189
215,Boys on the Side,21000000,9382,en,3.030309,23450000.0,6.3,48.0,0.00611113617197
219,Clerks,27000,2292,en,10.513367,3151130.0,7.4,769.0,0.00208444218151
220,Don Juan DeMarco,25000000,1909,en,7.438934,22200000.0,6.3,184.0,0.0112461615354
221,Disclosure,55000000,8984,en,11.812244,214015089.0,5.9,217.0,0.248749375343
227,Dumb and Dumber,16000000,8467,en,9.844558,247275374.0,6.5,1894.0,0.0160838384181
231,Ed Wood,18000000,522,en,11.720358,5887457.0,7.3,639.0,0.424783915281
236,Hideaway,15000000,27303,en,8.182165,12201255.0,5.0,24.0,0.00151499849744
242,Hoop Dreams,700000,14275,en,9.47666,7830611.0,7.7,91.0,0.00348306004889
243,Heavenly Creatures,5000000,1024,en,9.438042,3049135.0,6.9,299.0,0.000666856067255
244,Houseguest,10500000,17207,en,2.688562,26325256.0,6.0,17.0,0.0155871892348
249,Interview with the Vampire,60000000,628,en,11.970205,223664608.0,7.2,1558.0,0.00817670300603
250,Jefferson in Paris,14000000,87729,en,1.596058,2474000.0,5.2,10.0,0.0143247041851
252,Junior,60000000,6280,en,6.710215,37000000.0,4.7,381.0,0.00417777802795
256,Star Wars,11000000,11,en,42.149697,775398007.0,8.1,6778.0,0.0318290442228
261,Like Water for Chocolate,2000000,18183,es,4.126083,21665468.0,6.6,70.0,0.0969886928797
262,Legends of the Fall,30000000,4476,en,12.199047,160638883.0,7.2,636.0,0.00119001208805
267,Losing Isaiah,17000000,28313,en,7.698526,7603766.0,6.4,28.0,0.0150926187634
269,Mary Shelley's Frankenstein,45000000,3036,en,14.287753,112006296.0,6.1,272.0,0.00825616903603
274,Miami Rhapsody,6,17402,en,1.137266,5.0,5.6,7.0,0.0161536391824
278,Nell,31000000,1945,en,5.930957,106683817.0,6.1,128.0,0.143119573593
284,Natural Born Killers,34000000,241,en,11.226856,50282766.0,6.9,927.0,0.00623794784769
288,Outbreak,50000000,6950,en,13.676444,189859560.0,6.4,522.0,0.00438450276852
289,Leon: The Professional,16000000,101,fr,20.477329,45284974.0,8.2,4293.0,0.000900523853488
290,The Perez Family,11000000,63020,en,1.433544,2832826.0,6.6,9.0,0.012730316259
292,Pulp Fiction,8000000,680,en,140.950236,213928762.0,8.3,8670.0,0.0699930712581
294,Pushing Hands,400000,25296,zh,1.638622,152322.0,6.1,9.0,0.0239053927362
299,The Quick and the Dead,32000000,12106,en,7.54701,18552460.0,6.2,431.0,0.0390467382967
300,Roommates,22000000,161495,sv,3.395867,12400000.0,6.4,7.0,0.0193079244345
301,Prêt-à-Porter,15000000,3586,en,6.259433,11300653.0,5.3,33.0,0.0227236542851
309,The Swan Princess,35000000,22586,en,8.910462,9771658.0,6.5,251.0,0.000655042415019
311,The Specialist,45000000,2636,en,10.388183,170362582.0,5.5,317.0,0.0103264851496
312,Stargate,55000000,2164,en,13.328924,196567262.0,6.8,942.0,0.00111959851347
313,The Santa Clause,22000000,11395,en,9.665424,189833357.0,6.3,501.0,0.043343629688
314,The Shawshank Redemption,25000000,278,en,51.645403,28341469.0,8.5,8358.0,0.00413482449949
322,Tank Girl,25000000,9067,en,7.602087,4064495.0,5.5,140.0,0.00170856097247
324,Star Trek: Generations,38000000,193,en,8.105708,120000000.0,6.4,461.0,0.00960341002792
325,Tales from the Hood,6000000,25066,en,2.86007,12000000.0,5.4,33.0,0.00269631622359
332,What's Eating Gilbert Grape,11000000,1587,en,10.3919,10032765.0,7.5,943.0,0.0142312459648
333,Virtuosity,30000000,9271,en,5.188399,24048000.0,5.4,163.0,0.00188152131159
334,While You Were Sleeping,17000000,2064,en,15.783615,182057016.0,6.5,340.0,0.181005686522
337,Muriel's Wedding,3000000,236,en,5.254847,15119639.0,6.9,104.0,0.118107877672
339,Ace Ventura: Pet Detective,15000000,3049,en,11.247957,107217396.0,6.4,1684.0,0.0256373919547
342,Bitter Moon,5000000,10497,en,11.298195,1862805.0,7.0,115.0,0.00261331466027
344,Clear and Present Danger,62000000,9331,en,7.513245,215887717.0,6.4,390.0,0.0134687069803
345,The Client,45000000,10731,en,15.263829,117615211.0,6.4,287.0,0.00156233168673
348,The Crow,15000000,9495,en,15.799336,94000000.0,7.3,980.0,0.0418600253761
350,The Flintstones,46000000,888,en,15.019586,341631208.0,5.0,559.0,0.000888069742359
351,Forrest Gump,55000000,13,en,48.307194,677945399.0,8.2,8147.0,0.22355119884
352,Four Weddings and a Funeral,6000000,712,en,8.990345,254700832.0,6.6,654.0,0.000119337935757
355,I Love Trouble,45000000,10879,en,3.570874,61947267.0,5.3,41.0,0.0215258169919
359,The Lion King,45000000,8587,en,21.605761,788241776.0,8.0,5520.0,0.640131592751
360,Little Buddha,35000000,1689,en,5.681522,4858139.0,6.0,76.0,2.961069913e-05
361,New Nightmare,14000000,11596,en,9.860522,18090181.0,6.4,297.0,0.0965034216642
362,The Mask,23000000,854,en,14.13488,351583407.0,6.6,2550.0,0.393795609474
365,The Naked Gun 33⅓: The Final Insult,30000000,36593,en,10.587232,51132598.0,6.4,535.0,0.0983808264136
367,Reality Bites,11500000,2788,en,6.514592,20079850.0,6.5,180.0,0.00666094105691
368,Red Rock West,8000000,10427,en,5.137903,2000000.0,6.4,71.0,0.00727639812976
372,Speed,30000000,1637,en,10.859292,350448145.0,6.8,1814.0,0.00210870034061
374,Timecop,27000000,8831,en,8.907074,101646581.0,5.5,288.0,0.00740800518543
375,True Lies,115000000,36955,en,11.396099,378882411.0,6.8,1138.0,0.00114950025454
378,Wyatt Earp,63000000,12160,en,9.277147,25052000.0,6.5,203.0,0.0196519736201
382,A Low Down Dirty Shame,10000000,26352,en,3.021526,29392418.0,6.0,31.0,0.00180039461702
386,Jason's Lyric,7000000,22067,en,0.912909,20851521.0,5.9,9.0,0.535691738129
388,Street Fighter,35000000,11667,en,13.58449,99423521.0,4.1,330.0,0.0308090373874
400,Highlander: The Final Dimension,26000000,8011,en,6.866634,36800000.0,4.5,110.0,0.00130049092695
402,In the Mouth of Madness,8000000,2654,en,8.497643,8946600.0,7.1,307.0,0.0300720203668
407,The Age of Innocence,34000000,10436,en,8.013617,32255440.0,7.0,172.0,0.00388465938158
409,The Air Up There,17080000,46094,en,1.896273,21011500.0,5.1,42.0,0.164244621992
415,Beverly Hills Cop III,50000000,306,en,11.787784,119208989.0,5.5,445.0,0.062278188765
421,Body Snatchers,13000000,4722,en,6.559693,428868.0,5.8,102.0,0.0104711307213
423,A Bronx Tale,22000000,1607,en,6.115628,17287898.0,7.4,447.0,0.00130561657716
425,Calendar Girl,13000000,117553,en,1.316741,2570145.0,3.7,10.0,0.00673423195258
426,Carlito's Way,30000000,6075,en,8.698509,36516012.0,7.7,805.0,0.0117328837514
429,Cliffhanger,70000000,9350,en,9.830853,255000211.0,6.1,600.0,0.0114025622606
431,Color of Night,40000000,2124,en,14.228963,19726050.0,5.4,117.0,0.0132056595758
436,Dazed and Confused,6900000,9571,en,6.8652,7993039.0,7.4,588.0,0.00948945898563
437,Demolition Man,57000000,9739,en,11.626116,159055768.0,6.4,1018.0,0.00143961643334
448,For Love or Money,30000000,9024,en,8.468869,11146270.0,5.7,77.0,0.0022397171706
449,The Firm,42000000,37233,en,9.678367,270248367.0,6.6,513.0,0.00629321113229
450,Free Willy,20000000,1634,en,5.990572,153698625.0,6.0,429.0,0.0139046283439
452,The Fugitive,44000000,5503,en,10.08937,368875760.0,7.2,1240.0,0.0187472198159
453,Geronimo: An American Legend,35000000,35588,en,4.653462,18635620.0,5.9,44.0,0.00411771377549
459,Hard Target,18000000,2019,en,7.834351,74189677.0,6.1,237.0,0.00165633985307
461,Hot Shots! Part Deux,25000000,9255,en,13.482371,133752825.0,6.2,463.0,0.0539465881884
469,In the Line of Fire,40000000,9386,en,12.637158,176997168.0,6.8,392.0,0.00687094265595
470,In the Name of the Father,13000000,7984,en,7.405895,65796862.0,7.6,363.0,0.0158263966441
475,Jurassic Park,63000000,329,en,8.863776,920100000.0,7.6,4956.0,0.00192784098908
476,Kalifornia,9000000,10909,en,8.4337,2395231.0,6.5,209.0,0.0844539925456
477,Killing Zoe,1500000,507,en,4.948569,418961.0,6.1,111.0,0.00262451707385
480,Last Action Hero,85000000,9593,en,9.434006,137298489.0,6.1,725.0,0.0109800640494
487,Manhattan Murder Mystery,13500000,10440,en,8.939404,11285588.0,7.1,169.0,3.87797445001e-06
488,Menace II Society,3500000,9516,en,5.260924,27900000.0,7.2,179.0,0.0233146063983
489,Executive Decision,55000000,2320,en,13.106291,121969216.0,5.8,261.0,0.00322507414967
495,Mrs. Doubtfire,25000000,788,en,11.16553,441286195.0,7.0,1638.0,0.00301646208391
497,The Next Karate Kid,12000000,11231,en,9.9697,15826984.0,4.8,202.0,0.0250880606472
499,No Escape,20000000,10447,en,9.715187,15340000.0,6.1,86.0,0.000282520632027
502,A Perfect World,30000000,9559,en,8.040589,135130999.0,7.2,376.0,0.00183476996608
503,Philadelphia,26000000,9800,en,13.373006,206678440.0,7.6,1019.0,0.00206418987364
504,The Piano,7000000,713,en,7.436758,116700000.0,7.1,290.0,0.000908030197024
505,Poetic Justice,14000000,8291,en,6.972599,27515786.0,6.9,47.0,0.0611277073622
509,The Ref,11000000,10872,en,5.868677,11439193.0,6.7,99.0,0.00763723207638
510,The Remains of the Day,11500000,1245,en,12.222576,23237911.0,7.5,213.0,0.00241148332134
511,Renaissance Man,40000000,11858,en,4.985157,24332324.0,5.9,83.0,0.00348789943382
514,RoboCop 3,22000000,5550,en,8.685798,10696210.0,4.2,309.0,0.0322040431201
515,Robin Hood: Men in Tights,20000000,8005,en,17.136672,35739755.0,6.4,575.0,0.000459427858004
516,Romeo Is Bleeding,11500000,2088,en,9.796318,3275585.0,5.7,36.0,0.0722443461418
518,Ruby in Paradise,800000,47889,en,0.941994,1001437.0,5.6,10.0,0.075177796185
519,Rudy,12000000,14534,en,5.914833,22750363.0,7.2,187.0,0.0196251180023
522,Schindler's List,22000000,424,en,41.725123,321365567.0,8.3,4436.0,0.007632820867
527,Serial Mom,13000000,11592,en,5.305311,7820688.0,6.4,137.0,0.00522713782266
528,The Shadow,25000000,8850,en,7.881107,48063435.0,5.4,140.0,0.0117810275406
534,Sleepless in Seattle,21000000,858,en,10.234919,227799884.0,6.5,630.0,0.00142397999298
535,Sliver,40000000,867,en,11.23297,116300000.0,4.9,144.0,0.364909857512
536,Blade Runner,28000000,78,en,96.272374,33139618.0,7.9,3833.0,0.0365559570491
538,So I Married an Axe Murderer,20000000,10442,en,8.051914,11585483.0,6.1,131.0,0.010758603923
541,Super Mario Bros.,48000000,9607,en,7.198455,20915465.0,4.0,236.0,0.0142599195242
542,Surviving the Game,7400000,17585,en,3.644641,7690013.0,6.1,53.0,0.00547759141773
543,Terminal Velocity,50000000,9057,en,8.012225,16478900.0,5.0,82.0,0.00936665385962
546,The Nightmare Before Christmas,18000000,9479,en,17.730913,75634409.0,7.6,2135.0,0.249496251345
547,The Three Musketeers,30000000,10057,en,6.34785,53898845.0,6.2,219.0,0.00110753625631
548,Tombstone,25000000,11969,en,11.338194,56505065.0,7.4,632.0,3.05759167532e-05
550,True Romance,12500000,319,en,17.189328,12281551.0,7.5,762.0,0.00525431381539
552,The Pagemaster,27000000,15139,en,7.436001,13670688.0,6.2,178.0,0.009990519844
579,Home Alone,18000000,771,en,0.702543,476684675.0,7.1,2487.0,0.0167042333633
580,Ghost,22000000,251,en,11.945397,505000000.0,6.9,1381.0,0.0243162605911
581,Aladdin,28000000,812,en,16.357419,504050219.0,7.4,3495.0,0.0578518025577
582,Terminator 2: Judgment Day,100000000,280,en,22.661695,520000000.0,7.7,4274.0,0.00844319909811
583,Dances with Wolves,22000000,581,en,11.654349,424208848.0,7.6,1084.0,0.00084557646187
585,Batman,35000000,268,en,19.10673,411348924.0,7.0,2145.0,0.000382520869607
586,The Silence of the Lambs,19000000,274,en,4.307222,272742922.0,8.1,4549.0,0.00892231054604
587,Snow White and the Seven Dwarfs,1488423,408,en,16.263878,184925486.0,6.9,1973.0,0.0104929227382
588,Beauty and the Beast,25000000,10020,en,23.433511,377350553.0,7.5,3029.0,0.0652102530003
589,Pinocchio,2600000,10895,en,14.202284,84300000.0,6.9,1412.0,0.00277894479223
590,Pretty Woman,14000000,114,en,13.348451,463000000.0,7.0,1807.0,0.0311637222767
592,The Wild Bunch,6244087,576,en,11.722424,638641.0,7.7,266.0,0.000137761511724
600,Fargo,7000000,275,en,12.61469,60611975.0,7.7,2080.0,0.00769097264856
603,Hellraiser: Bloodline,4000000,8766,en,5.263187,16675000.0,4.9,111.0,0.0032985729631
608,The Aristocats,4000000,10112,en,9.834047,55675257.0,7.1,1287.0,0.0205735843629
619,Primal Fear,30000000,1592,en,10.326213,102616183.0,7.4,644.0,0.000317495781928
630,Girl 6,12000000,61752,en,4.405169,4939939.0,5.7,17.0,0.00439883256331
637,Courage Under Fire,46000000,10684,en,11.595316,100860818.0,6.2,240.0,0.000937660282943
638,Mission: Impossible,80000000,954,en,15.793477,457696359.0,6.7,2677.0,0.0184279661626
643,DragonHeart,57000000,8840,en,23.63659,115267375.0,6.4,553.0,3.91361027141e-05
651,James and the Giant Peach,38000000,10539,en,13.217623,28921264.0,6.2,375.0,0.000205799282412
654,Faithful,13000000,47502,en,1.296862,9789900.0,4.8,4.0,0.0119350021705
662,Space Jam,80000000,2300,en,11.054251,250200000.0,6.5,1335.0,0.011310682632
663,Barbarella,9000000,8069,en,14.304205,2500000.0,5.7,149.0,0.0359345413744
677,Mrs. Winterbourne,25000000,40001,en,9.1861,10070000.0,5.5,26.0,0.000361137354048
690,The Quest,30000000,9103,en,7.941972,57400547.0,5.3,126.0,0.00189576670527
695,Oliver & Company,31000000,12233,en,10.813579,74151346.0,6.5,372.0,0.434249907732
697,Flipper,25530000,36355,en,4.557006,20080020.0,5.3,85.0,0.0111367758363
701,The Horseman on the Roof,35000000,11876,en,1.690768,15000000.0,6.7,25.0,0.0710907950997
708,The Craft,15000000,9100,en,12.860385,24769466.0,6.3,388.0,0.0108575355262
715,Original Gangstas,4800000,40507,en,0.343579,3014000.0,5.5,5.0,0.00415995763615
716,The Rock,75000000,9802,en,13.249824,335062621.0,6.9,1474.0,0.00144647655543
719,Twister,92000000,664,en,8.739144,494471524.0,6.1,966.0,0.628809571266
730,The Arrival,25000000,10547,en,6.497591,14048372.0,6.1,200.0,0.000943111430388
732,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,935,en,9.80398,9440272.0,8.0,1472.0,0.00153997319285
743,The Phantom,45000000,9826,en,8.079541,17300889.0,4.7,138.0,0.0968800485134
744,Striptease,50000000,9879,en,11.341502,113309743.0,4.4,210.0,0.909445524216
747,Jack,45000000,7095,en,6.287245,58620973.0,5.9,340.0,0.00253835343756
758,Trainspotting,4000000,627,en,19.348466,16491080.0,7.8,2737.0,0.00167162297294
760,Independence Day,75000000,602,en,17.634197,816969268.0,6.7,3334.0,0.000181920448085
762,The Fan,55000000,9566,en,12.202063,18626419.0,5.7,202.0,0.000245655304752
763,The Hunchback of Notre Dame,100000000,10545,en,13.553999,100138851.0,6.8,1182.0,0.0236330833286
764,The Cable Guy,47000000,9894,en,7.586577,102825796.0,5.7,603.0,0.0182709656656
765,Kingpin,27000000,11543,en,11.633347,25023434.0,6.7,248.0,0.619539737701
766,Eraser,100000000,9268,en,6.919314,242295562.0,5.6,553.0,0.00126673630439
768,The Nutty Professor,54000000,9327,en,9.651581,128769345.0,5.4,717.0,0.00076710304711
777,Daylight,80000000,11228,en,11.995799,159212469.0,5.8,385.0,0.000777178211138
778,The Frighteners,30000000,10779,en,12.09096,29359216.0,6.7,413.0,0.0107455486432
779,Lone Star,5000000,26748,en,9.069963,13269963.0,6.9,79.0,0.0214756205678
781,Phenomenon,32000000,9294,en,5.575992,152036382.0,6.2,328.0,0.0018617475871
783,She's the One,3500000,11363,en,10.827266,9482579.0,5.7,71.0,0.00246679177508
784,A Time to Kill,40000000,1645,en,13.309013,152266007.0,7.0,522.0,0.00190217618365
788,Fled,25000000,18550,en,3.906949,17193231.0,5.2,49.0,0.00923313107342
805,Joe's Apartment,13000000,11962,en,9.490858,4619014.0,5.0,87.0,0.0291094146669
806,The First Wives Club,26000000,2925,en,10.177303,116400000.0,6.5,172.0,0.00987640395761
808,Ransom,80000000,3595,en,8.772188,309492681.0,6.4,482.0,0.00525668170303
812,Chain Reaction,50000000,12123,en,15.874491,60209334.0,5.3,291.0,0.00179833732545
813,Matilda,36000000,10830,en,10.034915,33459416.0,6.9,892.0,0.0107877943665
814,Emma,6000000,3573,en,6.593011,22231658.0,6.7,152.0,0.00175220402889
815,The Crow: City of Angels,13000000,10546,en,6.554679,17917287.0,5.2,119.0,0.00545735144988
818,Bordello of Blood,15000000,9431,en,3.450402,5600000.0,5.0,63.0,0.395764321089
824,The Spitfire Grill,6000000,47907,en,1.19589,12643776.0,6.8,17.0,0.00780594116077
825,Escape from L.A.,50000000,10061,en,12.229381,42277365.0,5.6,381.0,0.0145676899701
827,Basquiat,2962051,549,en,4.797674,3011195.0,6.6,97.0,0.00105145201087
828,Tin Cup,45000000,10478,en,6.24966,53854588.0,5.9,152.0,0.220608144999
829,Dingo,200000,66634,en,0.124273,300000.0,6.0,1.0,0.0385098308325
834,The Godfather,6000000,238,en,41.109264,245066411.0,8.5,6024.0,0.00586888752878
836,Police Story 3: Supercop,900000,11134,cn,6.751864,20483423.0,6.7,109.0,0.021001925692
837,Manny & Lo,500000,88224,en,1.143656,431326.0,6.3,9.0,0.0033978021238
840,Bound,4500000,9303,en,12.449574,7011317.0,6.9,203.0,0.516787052155
853,The Relic,60000000,11015,en,7.699967,33956608.0,5.8,130.0,0.00527605367824
854,The Island of Dr. Moreau,40000000,9306,en,12.725343,49627779.0,4.6,148.0,0.00116992357653
859,Bulletproof,25000000,10723,en,7.859132,22611954.0,5.4,164.0,0.00286190281622
864,Halloween: The Curse of Michael Myers,5000000,10987,en,8.768288,15116634.0,5.0,173.0,0.00842772424221
872,Singin' in the Rain,2540800,872,en,11.064858,7200000.0,7.9,747.0,0.00170825200621
873,An American in Paris,2723903,2769,en,5.565203,4500000.0,6.9,133.0,0.0733107179403
875,Breakfast at Tiffany's,2500000,164,en,10.879289,9500000.0,7.6,1082.0,0.0233749113977
876,Vertigo,2479000,426,en,18.20822,28000000.0,8.0,1162.0,0.00153931323439
877,Rear Window,1000000,567,en,17.911314,36764313.0,8.2,1531.0,0.00394204305485
878,It Happened One Night,325000,3078,en,6.465257,4500000.0,7.7,283.0,0.0187527108938
881,North by Northwest,4000000,213,en,12.410427,13275000.0,7.8,1062.0,0.0142015749589
882,The Apartment,3000000,284,en,11.994281,25000000.0,8.1,498.0,0.00156725279521
883,Some Like It Hot,2883848,239,en,11.845107,25000000.0,8.0,835.0,0.00219491147436
884,Charade,4000000,4808,en,7.098731,13474588.0,7.7,351.0,0.00199508480728
885,Casablanca,878000,289,en,13.916101,10462500.0,7.9,1462.0,0.0592508502305
886,The Maltese Falcon,375000,963,en,5.782544,1000000.0,7.8,435.0,0.00518741924316
887,My Fair Lady,17000000,11113,en,12.494394,72070731.0,7.4,361.0,0.00281199370511
888,Sabrina,2238813,6620,en,7.359741,10000000.0,7.4,284.0,0.0035536098294
889,Roman Holiday,1500000,804,en,11.954806,12000000.0,7.8,502.0,0.00052160595078
892,The Wizard of Oz,2777000,630,en,22.064932,33754967.0,7.4,1689.0,0.00289330398664
893,Gone with the Wind,4000000,770,en,14.240357,400176459.0,7.7,995.0,0.136109337211
